,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
118,119 - Turín-Abraham González,S/N,4,JUA,119,19.42679,-99.15554,119 TURÍN-ABRAHAM GONZÁLEZ,"114,118,125",28,BIKE,OPN,,JUAREZ
119,120 - Marsella-Nápoles,S/N,7,JUA,120,19.425437,-99.159458,120 MARSELLA-NAPOLES,"117,118,121",16,BIKE,OPN,06500,JUAREZ
120,121 - Niza-Chapultepec,S/N,4,JUA,121,19.424136999999998,-99.16131700000001,121 NIZA-CHAPULTEPEC,"117,120,128",14,BIKE,OPN,06500,JUAREZ
121,122 - José María Vértiz-Av. Dr. Río de la Loza,S/N,9,DOC,122,19.425501999999998,-99.146337,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,"99,108,110",21,BIKE,OPN,06500,DOCTORES
122,123 - Claudio Bernard-Dr. Lavista,S/N,15,1,123,19.424160999999998,-99.15311700000001,123 CLAUDIO BERNARD-DR. LAVISTA,"124,125,133",15,BIKE,OPN,06500,DOCTORES
123,124 - Claudio Bernard-Dr. Liceaga,S/N,8,DOC,124,19.422392000000002,-99.150358,124 CLAUDIO BERNARD-DR. LICEAGA,"119,123,133",28,BIKE,OPN,06500,DOCTORES
124,125 - Morelia-Circular de Morelia,S/N,8,R-N,125,19.424541,-99.156204,125 MORELIA-CIRCULAR DE MORELIA,"119,123,127",27,BIKE,OPN,06500,ROMA NORTE
125,126 - Jalapa-Puebla,S/N,11,R-N,126,19.422288,-99.162138,126 JALAPA-PUEBLA,"121,128,129",24,BIKE,OPN,,ROMA NORTE
126,127 -  Puebla-Merida,S/N,3,R-N,127,19.423318,-99.15833,127 PUEBLA-MERIDA,"125,128,130",26,BIKE,OPN,,ROMA NORTE
127,128 - Orizaba-Río de Janeiro,S/N,20,R-N,128,19.422148,-99.160645,128 ORIZABA-RIO DE JANEIRO,"121,126,127",4,"BIKE,TPV",OPN,06500,ROMA NORTE
128,129 - Tonalá-Durango,S/N,0,R-N,129,19.4206,-99.163312,129 TONALÁ-DURANGO,"126,128,131",24,BIKE,OPN,,ROMA NORTE
